Geneid	16-FC
ENSRNOG00000046319	0
ENSRNOG00000047964	0
ENSRNOG00000050370	0
ENSRNOG00000032365	0
ENSRNOG00000040300	0
ENSRNOG00000058808	0
ENSRNOG00000061316	3
ENSRNOG00000050129	0
ENSRNOG00000040316	0
ENSRNOG00000023659	0
ENSRNOG00000029897	1
ENSRNOG00000042852	0
ENSRNOG00000061806	0
ENSRNOG00000055877	0
ENSRNOG00000014303	3001
ENSRNOG00000051899	2
ENSRNOG00000014330	1841
ENSRNOG00000049505	52
ENSRNOG00000014916	632
ENSRNOG00000014996	141
ENSRNOG00000015239	143
ENSRNOG00000055508	2
ENSRNOG00000053710	0
ENSRNOG00000015552	475
ENSRNOG00000016041	4
ENSRNOG00000016054	838
ENSRNOG00000016381	73
ENSRNOG00000054005	0
ENSRNOG00000059137	1
ENSRNOG00000013160	1318
ENSRNOG00000052788	0
ENSRNOG00000023549	195
ENSRNOG00000031859	0
ENSRNOG00000013351	2703
ENSRNOG00000061755	0
ENSRNOG00000053182	0
ENSRNOG00000042741	5
ENSRNOG00000014258	28
ENSRNOG00000057302	0
ENSRNOG00000014290	558
ENSRNOG00000041566	0
ENSRNOG00000014431	2
ENSRNOG00000014450	679
ENSRNOG00000014852	145
ENSRNOG00000052274	0
ENSRNOG00000040242	54
ENSRNOG00000054906	0
ENSRNOG00000058048	0
ENSRNOG00000051844	0
ENSRNOG00000053880	0
ENSRNOG00000011058	2106
ENSRNOG00000014902	15
ENSRNOG00000014908	339
ENSRNOG00000036310	0
ENSRNOG00000025587	14
ENSRNOG00000042705	1
ENSRNOG00000043188	0
ENSRNOG00000015217	243
ENSRNOG00000015473	77
ENSRNOG00000015551	245
ENSRNOG00000015660	239
ENSRNOG00000046983	71
ENSRNOG00000016624	0
ENSRNOG00000010753	533
ENSRNOG00000011015	4979
ENSRNOG00000011399	0
ENSRNOG00000011411	144
ENSRNOG00000011540	696
ENSRNOG00000012092	1
ENSRNOG00000012103	13
ENSRNOG00000059930	0
ENSRNOG00000059032	0
ENSRNOG00000056005	0
ENSRNOG00000055342	0
ENSRNOG00000047798	0
ENSRNOG00000059769	0
ENSRNOG00000047193	0
ENSRNOG00000060990	0
ENSRNOG00000058425	9
ENSRNOG00000055421	0
ENSRNOG00000052007	0
ENSRNOG00000061685	0
ENSRNOG00000047746	17
ENSRNOG00000055836	0
ENSRNOG00000060657	0
ENSRNOG00000059898	0
ENSRNOG00000055789	0
ENSRNOG00000062232	0
ENSRNOG00000055660	0
ENSRNOG00000060284	0
ENSRNOG00000056019	0
ENSRNOG00000059861	0
ENSRNOG00000056940	374
ENSRNOG00000055972	0
ENSRNOG00000060021	22
ENSRNOG00000060610	0
ENSRNOG00000060972	798
ENSRNOG00000051450	169
ENSRNOG00000059224	325
ENSRNOG00000055142	3
ENSRNOG00000052189	0
ENSRNOG00000053331	0
ENSRNOG00000053347	173
ENSRNOG00000059393	1
ENSRNOG00000060603	331
ENSRNOG00000053735	13
ENSRNOG00000053184	0
ENSRNOG00000011460	680
ENSRNOG00000025799	0
ENSRNOG00000011994	54
ENSRNOG00000049517	190
ENSRNOG00000058088	1
ENSRNOG00000054373	0
ENSRNOG00000012057	0
ENSRNOG00000053291	0
ENSRNOG00000012074	552
ENSRNOG00000012259	11
ENSRNOG00000012286	0
ENSRNOG00000057719	1
ENSRNOG00000012311	49
ENSRNOG00000012322	88
ENSRNOG00000031700	518
ENSRNOG00000054452	0
ENSRNOG00000012701	922
ENSRNOG00000053505	0
ENSRNOG00000058050	1275
ENSRNOG00000013436	205
ENSRNOG00000058518	0
ENSRNOG00000053617	0
ENSRNOG00000013969	1183
ENSRNOG00000055858	4
ENSRNOG00000014531	1241
ENSRNOG00000014907	2
ENSRNOG00000052464	0
ENSRNOG00000058612	0
ENSRNOG00000048762	0
ENSRNOG00000058363	0
ENSRNOG00000014979	0
ENSRNOG00000055971	0
ENSRNOG00000047605	1126
ENSRNOG00000046617	31
ENSRNOG00000047754	0
ENSRNOG00000028519	0
ENSRNOG00000011134	152
ENSRNOG00000046438	0
ENSRNOG00000057281	0
ENSRNOG00000058772	0
ENSRNOG00000011245	120
ENSRNOG00000030796	0
ENSRNOG00000051380	1
ENSRNOG00000011720	234
ENSRNOG00000033517	36
ENSRNOG00000039955	0
ENSRNOG00000050801	1
ENSRNOG00000049569	7
ENSRNOG00000047783	237
ENSRNOG00000011855	0
ENSRNOG00000053931	3
ENSRNOG00000026462	7
ENSRNOG00000056218	0
ENSRNOG00000047821	0
ENSRNOG00000012346	1747
ENSRNOG00000013202	158
ENSRNOG00000055111	12
ENSRNOG00000054921	0
ENSRNOG00000053999	0
ENSRNOG00000052696	0
ENSRNOG00000013304	35
ENSRNOG00000013422	508
ENSRNOG00000013791	12
ENSRNOG00000053913	0
ENSRNOG00000013994	74
ENSRNOG00000015036	207
ENSRNOG00000015321	473
ENSRNOG00000015670	388
ENSRNOG00000026096	0
ENSRNOG00000056705	0
ENSRNOG00000048934	0
ENSRNOG00000030414	0
ENSRNOG00000039872	0
ENSRNOG00000048072	0
ENSRNOG00000052726	0
ENSRNOG00000048265	0
ENSRNOG00000046903	0
ENSRNOG00000045914	0
ENSRNOG00000047825	0
ENSRNOG00000046302	0
ENSRNOG00000016095	0
ENSRNOG00000016089	0
ENSRNOG00000039869	0
ENSRNOG00000029877	0
ENSRNOG00000025982	0
ENSRNOG00000025951	0
ENSRNOG00000016073	0
ENSRNOG00000016219	8
ENSRNOG00000039865	2
ENSRNOG00000016371	223
ENSRNOG00000060376	16
ENSRNOG00000016411	1067
ENSRNOG00000057952	7
ENSRNOG00000061678	0
ENSRNOG00000054517	6
ENSRNOG00000016627	49
ENSRNOG00000048248	1
ENSRNOG00000016700	0
ENSRNOG00000011114	482
ENSRNOG00000011161	138
ENSRNOG00000051597	0
ENSRNOG00000057722	3
ENSRNOG00000011815	549
ENSRNOG00000059690	0
ENSRNOG00000051379	0
ENSRNOG00000059251	0
ENSRNOG00000061761	0
ENSRNOG00000056881	0
ENSRNOG00000055637	0
ENSRNOG00000058047	1
ENSRNOG00000052999	3
ENSRNOG00000048976	1
ENSRNOG00000048796	0
ENSRNOG00000054246	11
ENSRNOG00000012122	348
ENSRNOG00000062105	0
ENSRNOG00000062163	0
ENSRNOG00000062138	1
ENSRNOG00000012609	6
ENSRNOG00000058582	0
ENSRNOG00000029608	323
ENSRNOG00000052712	0
ENSRNOG00000057890	0
ENSRNOG00000056670	0
ENSRNOG00000013323	171
ENSRNOG00000021478	276
ENSRNOG00000021442	84
ENSRNOG00000013364	182
ENSRNOG00000014004	1219
ENSRNOG00000014190	151
ENSRNOG00000014240	62
ENSRNOG00000042944	3
ENSRNOG00000060033	0
ENSRNOG00000050157	0
ENSRNOG00000056383	0
ENSRNOG00000061372	0
ENSRNOG00000056484	7
ENSRNOG00000011568	183
ENSRNOG00000011588	605
ENSRNOG00000011622	586
ENSRNOG00000054753	0
ENSRNOG00000042309	1769
ENSRNOG00000012324	1008
ENSRNOG00000061741	6
ENSRNOG00000054845	0
ENSRNOG00000023407	8
ENSRNOG00000023387	0
ENSRNOG00000012581	0
ENSRNOG00000039788	0
ENSRNOG00000051400	0
ENSRNOG00000039783	22
ENSRNOG00000028357	86
ENSRNOG00000012775	442
ENSRNOG00000013331	4330
ENSRNOG00000014485	368
ENSRNOG00000014721	3
ENSRNOG00000039776	727
ENSRNOG00000015159	10
ENSRNOG00000015465	8
ENSRNOG00000028261	1769
ENSRNOG00000039743	2
ENSRNOG00000060926	0
ENSRNOG00000015676	610
ENSRNOG00000015810	8
ENSRNOG00000051415	0
ENSRNOG00000016103	219
ENSRNOG00000016372	138
ENSRNOG00000056712	0
