Geneid	10-FC
ENSRNOG00000046319	0
ENSRNOG00000047964	0
ENSRNOG00000050370	0
ENSRNOG00000032365	0
ENSRNOG00000040300	0
ENSRNOG00000058808	0
ENSRNOG00000061316	6
ENSRNOG00000050129	0
ENSRNOG00000040316	0
ENSRNOG00000023659	0
ENSRNOG00000029897	0
ENSRNOG00000042852	0
ENSRNOG00000061806	0
ENSRNOG00000055877	0
ENSRNOG00000014303	4005
ENSRNOG00000051899	1
ENSRNOG00000014330	2860
ENSRNOG00000049505	71
ENSRNOG00000014916	725
ENSRNOG00000014996	164
ENSRNOG00000015239	181
ENSRNOG00000055508	1
ENSRNOG00000053710	0
ENSRNOG00000015552	669
ENSRNOG00000016041	1
ENSRNOG00000016054	881
ENSRNOG00000016381	159
ENSRNOG00000054005	0
ENSRNOG00000059137	0
ENSRNOG00000013160	1389
ENSRNOG00000052788	0
ENSRNOG00000023549	195
ENSRNOG00000031859	0
ENSRNOG00000013351	3100
ENSRNOG00000061755	2
ENSRNOG00000053182	0
ENSRNOG00000042741	13
ENSRNOG00000014258	31
ENSRNOG00000057302	0
ENSRNOG00000014290	675
ENSRNOG00000041566	0
ENSRNOG00000014431	7
ENSRNOG00000014450	1016
ENSRNOG00000014852	188
ENSRNOG00000052274	0
ENSRNOG00000040242	97
ENSRNOG00000054906	0
ENSRNOG00000058048	0
ENSRNOG00000051844	0
ENSRNOG00000053880	0
ENSRNOG00000011058	1767
ENSRNOG00000014902	25
ENSRNOG00000014908	500
ENSRNOG00000036310	0
ENSRNOG00000025587	66
ENSRNOG00000042705	1
ENSRNOG00000043188	0
ENSRNOG00000015217	353
ENSRNOG00000015473	94
ENSRNOG00000015551	309
ENSRNOG00000015660	275
ENSRNOG00000046983	108
ENSRNOG00000016624	0
ENSRNOG00000010753	685
ENSRNOG00000011015	6213
ENSRNOG00000011399	0
ENSRNOG00000011411	168
ENSRNOG00000011540	948
ENSRNOG00000012092	0
ENSRNOG00000012103	20
ENSRNOG00000059930	0
ENSRNOG00000059032	0
ENSRNOG00000056005	0
ENSRNOG00000055342	0
ENSRNOG00000047798	0
ENSRNOG00000059769	0
ENSRNOG00000047193	0
ENSRNOG00000060990	0
ENSRNOG00000058425	15
ENSRNOG00000055421	0
ENSRNOG00000052007	0
ENSRNOG00000061685	0
ENSRNOG00000047746	31
ENSRNOG00000055836	6
ENSRNOG00000060657	0
ENSRNOG00000059898	2
ENSRNOG00000055789	6
ENSRNOG00000062232	0
ENSRNOG00000055660	0
ENSRNOG00000060284	0
ENSRNOG00000056019	0
ENSRNOG00000059861	0
ENSRNOG00000056940	424
ENSRNOG00000055972	0
ENSRNOG00000060021	21
ENSRNOG00000060610	0
ENSRNOG00000060972	878
ENSRNOG00000051450	230
ENSRNOG00000059224	410
ENSRNOG00000055142	8
ENSRNOG00000052189	0
ENSRNOG00000053331	2
ENSRNOG00000053347	237
ENSRNOG00000059393	0
ENSRNOG00000060603	395
ENSRNOG00000053735	40
ENSRNOG00000053184	2
ENSRNOG00000011460	1105
ENSRNOG00000025799	0
ENSRNOG00000011994	79
ENSRNOG00000049517	194
ENSRNOG00000058088	0
ENSRNOG00000054373	0
ENSRNOG00000012057	1
ENSRNOG00000053291	2
ENSRNOG00000012074	631
ENSRNOG00000012259	10
ENSRNOG00000012286	0
ENSRNOG00000057719	0
ENSRNOG00000012311	59
ENSRNOG00000012322	102
ENSRNOG00000031700	550
ENSRNOG00000054452	4
ENSRNOG00000012701	904
ENSRNOG00000053505	0
ENSRNOG00000058050	1909
ENSRNOG00000013436	276
ENSRNOG00000058518	0
ENSRNOG00000053617	0
ENSRNOG00000013969	1245
ENSRNOG00000055858	6
ENSRNOG00000014531	1569
ENSRNOG00000014907	0
ENSRNOG00000052464	0
ENSRNOG00000058612	0
ENSRNOG00000048762	0
ENSRNOG00000058363	0
ENSRNOG00000014979	0
ENSRNOG00000055971	0
ENSRNOG00000047605	1785
ENSRNOG00000046617	23
ENSRNOG00000047754	0
ENSRNOG00000028519	0
ENSRNOG00000011134	227
ENSRNOG00000046438	0
ENSRNOG00000057281	0
ENSRNOG00000058772	0
ENSRNOG00000011245	113
ENSRNOG00000030796	0
ENSRNOG00000051380	1
ENSRNOG00000011720	299
ENSRNOG00000033517	62
ENSRNOG00000039955	2
ENSRNOG00000050801	0
ENSRNOG00000049569	0
ENSRNOG00000047783	398
ENSRNOG00000011855	0
ENSRNOG00000053931	0
ENSRNOG00000026462	2
ENSRNOG00000056218	0
ENSRNOG00000047821	0
ENSRNOG00000012346	1833
ENSRNOG00000013202	235
ENSRNOG00000055111	7
ENSRNOG00000054921	1
ENSRNOG00000053999	0
ENSRNOG00000052696	0
ENSRNOG00000013304	19
ENSRNOG00000013422	632
ENSRNOG00000013791	23
ENSRNOG00000053913	1
ENSRNOG00000013994	97
ENSRNOG00000015036	144
ENSRNOG00000015321	438
ENSRNOG00000015670	580
ENSRNOG00000026096	1
ENSRNOG00000056705	0
ENSRNOG00000048934	0
ENSRNOG00000030414	0
ENSRNOG00000039872	0
ENSRNOG00000048072	0
ENSRNOG00000052726	0
ENSRNOG00000048265	0
ENSRNOG00000046903	0
ENSRNOG00000045914	0
ENSRNOG00000047825	0
ENSRNOG00000046302	0
ENSRNOG00000016095	0
ENSRNOG00000016089	0
ENSRNOG00000039869	0
ENSRNOG00000029877	0
ENSRNOG00000025982	0
ENSRNOG00000025951	0
ENSRNOG00000016073	0
ENSRNOG00000016219	3
ENSRNOG00000039865	4
ENSRNOG00000016371	285
ENSRNOG00000060376	22
ENSRNOG00000016411	1208
ENSRNOG00000057952	6
ENSRNOG00000061678	1
ENSRNOG00000054517	1
ENSRNOG00000016627	83
ENSRNOG00000048248	4
ENSRNOG00000016700	0
ENSRNOG00000011114	725
ENSRNOG00000011161	234
ENSRNOG00000051597	0
ENSRNOG00000057722	0
ENSRNOG00000011815	616
ENSRNOG00000059690	0
ENSRNOG00000051379	0
ENSRNOG00000059251	0
ENSRNOG00000061761	0
ENSRNOG00000056881	0
ENSRNOG00000055637	0
ENSRNOG00000058047	2
ENSRNOG00000052999	6
ENSRNOG00000048976	7
ENSRNOG00000048796	1
ENSRNOG00000054246	9
ENSRNOG00000012122	522
ENSRNOG00000062105	0
ENSRNOG00000062163	0
ENSRNOG00000062138	0
ENSRNOG00000012609	22
ENSRNOG00000058582	0
ENSRNOG00000029608	513
ENSRNOG00000052712	1
ENSRNOG00000057890	0
ENSRNOG00000056670	1
ENSRNOG00000013323	218
ENSRNOG00000021478	363
ENSRNOG00000021442	138
ENSRNOG00000013364	160
ENSRNOG00000014004	1554
ENSRNOG00000014190	228
ENSRNOG00000014240	54
ENSRNOG00000042944	3
ENSRNOG00000060033	0
ENSRNOG00000050157	0
ENSRNOG00000056383	0
ENSRNOG00000061372	0
ENSRNOG00000056484	11
ENSRNOG00000011568	258
ENSRNOG00000011588	847
ENSRNOG00000011622	629
ENSRNOG00000054753	0
ENSRNOG00000042309	2177
ENSRNOG00000012324	1323
ENSRNOG00000061741	16
ENSRNOG00000054845	0
ENSRNOG00000023407	12
ENSRNOG00000023387	0
ENSRNOG00000012581	1
ENSRNOG00000039788	0
ENSRNOG00000051400	0
ENSRNOG00000039783	32
ENSRNOG00000028357	75
ENSRNOG00000012775	396
ENSRNOG00000013331	5074
ENSRNOG00000014485	472
ENSRNOG00000014721	12
ENSRNOG00000039776	906
ENSRNOG00000015159	13
ENSRNOG00000015465	6
ENSRNOG00000028261	2588
ENSRNOG00000039743	5
ENSRNOG00000060926	1
ENSRNOG00000015676	845
ENSRNOG00000015810	21
ENSRNOG00000051415	0
ENSRNOG00000016103	244
ENSRNOG00000016372	163
ENSRNOG00000056712	0
