Geneid	15-FC
ENSRNOG00000046319	0
ENSRNOG00000047964	0
ENSRNOG00000050370	0
ENSRNOG00000032365	0
ENSRNOG00000040300	0
ENSRNOG00000058808	0
ENSRNOG00000061316	4
ENSRNOG00000050129	0
ENSRNOG00000040316	0
ENSRNOG00000023659	0
ENSRNOG00000029897	0
ENSRNOG00000042852	0
ENSRNOG00000061806	0
ENSRNOG00000055877	0
ENSRNOG00000014303	4183
ENSRNOG00000051899	5
ENSRNOG00000014330	2849
ENSRNOG00000049505	71
ENSRNOG00000014916	793
ENSRNOG00000014996	172
ENSRNOG00000015239	175
ENSRNOG00000055508	2
ENSRNOG00000053710	1
ENSRNOG00000015552	649
ENSRNOG00000016041	2
ENSRNOG00000016054	1064
ENSRNOG00000016381	145
ENSRNOG00000054005	0
ENSRNOG00000059137	0
ENSRNOG00000013160	1576
ENSRNOG00000052788	0
ENSRNOG00000023549	153
ENSRNOG00000031859	0
ENSRNOG00000013351	3504
ENSRNOG00000061755	0
ENSRNOG00000053182	0
ENSRNOG00000042741	10
ENSRNOG00000014258	52
ENSRNOG00000057302	0
ENSRNOG00000014290	673
ENSRNOG00000041566	1
ENSRNOG00000014431	3
ENSRNOG00000014450	1119
ENSRNOG00000014852	187
ENSRNOG00000052274	0
ENSRNOG00000040242	79
ENSRNOG00000054906	0
ENSRNOG00000058048	0
ENSRNOG00000051844	0
ENSRNOG00000053880	0
ENSRNOG00000011058	1957
ENSRNOG00000014902	13
ENSRNOG00000014908	510
ENSRNOG00000036310	0
ENSRNOG00000025587	35
ENSRNOG00000042705	1
ENSRNOG00000043188	0
ENSRNOG00000015217	405
ENSRNOG00000015473	126
ENSRNOG00000015551	362
ENSRNOG00000015660	336
ENSRNOG00000046983	99
ENSRNOG00000016624	0
ENSRNOG00000010753	640
ENSRNOG00000011015	8036
ENSRNOG00000011399	0
ENSRNOG00000011411	305
ENSRNOG00000011540	945
ENSRNOG00000012092	3
ENSRNOG00000012103	9
ENSRNOG00000059930	0
ENSRNOG00000059032	0
ENSRNOG00000056005	0
ENSRNOG00000055342	0
ENSRNOG00000047798	0
ENSRNOG00000059769	0
ENSRNOG00000047193	0
ENSRNOG00000060990	0
ENSRNOG00000058425	18
ENSRNOG00000055421	0
ENSRNOG00000052007	0
ENSRNOG00000061685	0
ENSRNOG00000047746	19
ENSRNOG00000055836	2
ENSRNOG00000060657	0
ENSRNOG00000059898	3
ENSRNOG00000055789	4
ENSRNOG00000062232	0
ENSRNOG00000055660	0
ENSRNOG00000060284	0
ENSRNOG00000056019	0
ENSRNOG00000059861	0
ENSRNOG00000056940	687
ENSRNOG00000055972	0
ENSRNOG00000060021	9
ENSRNOG00000060610	0
ENSRNOG00000060972	959
ENSRNOG00000051450	233
ENSRNOG00000059224	430
ENSRNOG00000055142	0
ENSRNOG00000052189	3
ENSRNOG00000053331	1
ENSRNOG00000053347	244
ENSRNOG00000059393	0
ENSRNOG00000060603	363
ENSRNOG00000053735	72
ENSRNOG00000053184	0
ENSRNOG00000011460	1461
ENSRNOG00000025799	0
ENSRNOG00000011994	57
ENSRNOG00000049517	154
ENSRNOG00000058088	0
ENSRNOG00000054373	0
ENSRNOG00000012057	0
ENSRNOG00000053291	4
ENSRNOG00000012074	687
ENSRNOG00000012259	23
ENSRNOG00000012286	0
ENSRNOG00000057719	0
ENSRNOG00000012311	57
ENSRNOG00000012322	171
ENSRNOG00000031700	627
ENSRNOG00000054452	4
ENSRNOG00000012701	1177
ENSRNOG00000053505	0
ENSRNOG00000058050	1955
ENSRNOG00000013436	508
ENSRNOG00000058518	0
ENSRNOG00000053617	1
ENSRNOG00000013969	1524
ENSRNOG00000055858	11
ENSRNOG00000014531	1637
ENSRNOG00000014907	4
ENSRNOG00000052464	0
ENSRNOG00000058612	0
ENSRNOG00000048762	0
ENSRNOG00000058363	0
ENSRNOG00000014979	0
ENSRNOG00000055971	0
ENSRNOG00000047605	2147
ENSRNOG00000046617	28
ENSRNOG00000047754	0
ENSRNOG00000028519	0
ENSRNOG00000011134	264
ENSRNOG00000046438	0
ENSRNOG00000057281	0
ENSRNOG00000058772	0
ENSRNOG00000011245	191
ENSRNOG00000030796	0
ENSRNOG00000051380	1
ENSRNOG00000011720	364
ENSRNOG00000033517	67
ENSRNOG00000039955	3
ENSRNOG00000050801	2
ENSRNOG00000049569	0
ENSRNOG00000047783	524
ENSRNOG00000011855	0
ENSRNOG00000053931	1
ENSRNOG00000026462	17
ENSRNOG00000056218	0
ENSRNOG00000047821	0
ENSRNOG00000012346	2077
ENSRNOG00000013202	244
ENSRNOG00000055111	13
ENSRNOG00000054921	0
ENSRNOG00000053999	0
ENSRNOG00000052696	0
ENSRNOG00000013304	27
ENSRNOG00000013422	764
ENSRNOG00000013791	27
ENSRNOG00000053913	0
ENSRNOG00000013994	130
ENSRNOG00000015036	242
ENSRNOG00000015321	419
ENSRNOG00000015670	495
ENSRNOG00000026096	2
ENSRNOG00000056705	0
ENSRNOG00000048934	0
ENSRNOG00000030414	0
ENSRNOG00000039872	0
ENSRNOG00000048072	0
ENSRNOG00000052726	0
ENSRNOG00000048265	0
ENSRNOG00000046903	0
ENSRNOG00000045914	0
ENSRNOG00000047825	0
ENSRNOG00000046302	0
ENSRNOG00000016095	0
ENSRNOG00000016089	0
ENSRNOG00000039869	0
ENSRNOG00000029877	0
ENSRNOG00000025982	0
ENSRNOG00000025951	0
ENSRNOG00000016073	0
ENSRNOG00000016219	6
ENSRNOG00000039865	3
ENSRNOG00000016371	282
ENSRNOG00000060376	10
ENSRNOG00000016411	1130
ENSRNOG00000057952	9
ENSRNOG00000061678	4
ENSRNOG00000054517	5
ENSRNOG00000016627	73
ENSRNOG00000048248	1
ENSRNOG00000016700	0
ENSRNOG00000011114	694
ENSRNOG00000011161	264
ENSRNOG00000051597	0
ENSRNOG00000057722	3
ENSRNOG00000011815	887
ENSRNOG00000059690	4
ENSRNOG00000051379	0
ENSRNOG00000059251	0
ENSRNOG00000061761	0
ENSRNOG00000056881	0
ENSRNOG00000055637	0
ENSRNOG00000058047	2
ENSRNOG00000052999	17
ENSRNOG00000048976	4
ENSRNOG00000048796	0
ENSRNOG00000054246	14
ENSRNOG00000012122	588
ENSRNOG00000062105	0
ENSRNOG00000062163	0
ENSRNOG00000062138	3
ENSRNOG00000012609	2
ENSRNOG00000058582	0
ENSRNOG00000029608	270
ENSRNOG00000052712	0
ENSRNOG00000057890	0
ENSRNOG00000056670	0
ENSRNOG00000013323	209
ENSRNOG00000021478	275
ENSRNOG00000021442	129
ENSRNOG00000013364	215
ENSRNOG00000014004	1595
ENSRNOG00000014190	210
ENSRNOG00000014240	51
ENSRNOG00000042944	3
ENSRNOG00000060033	0
ENSRNOG00000050157	0
ENSRNOG00000056383	0
ENSRNOG00000061372	0
ENSRNOG00000056484	16
ENSRNOG00000011568	235
ENSRNOG00000011588	802
ENSRNOG00000011622	641
ENSRNOG00000054753	0
ENSRNOG00000042309	2737
ENSRNOG00000012324	1939
ENSRNOG00000061741	9
ENSRNOG00000054845	0
ENSRNOG00000023407	22
ENSRNOG00000023387	0
ENSRNOG00000012581	0
ENSRNOG00000039788	0
ENSRNOG00000051400	0
ENSRNOG00000039783	38
ENSRNOG00000028357	73
ENSRNOG00000012775	611
ENSRNOG00000013331	5286
ENSRNOG00000014485	630
ENSRNOG00000014721	1
ENSRNOG00000039776	1081
ENSRNOG00000015159	13
ENSRNOG00000015465	6
ENSRNOG00000028261	2428
ENSRNOG00000039743	4
ENSRNOG00000060926	1
ENSRNOG00000015676	840
ENSRNOG00000015810	19
ENSRNOG00000051415	0
ENSRNOG00000016103	247
ENSRNOG00000016372	241
ENSRNOG00000056712	1
