Geneid	11-FC
ENSRNOG00000046319	0
ENSRNOG00000047964	0
ENSRNOG00000050370	0
ENSRNOG00000032365	0
ENSRNOG00000040300	0
ENSRNOG00000058808	0
ENSRNOG00000061316	4
ENSRNOG00000050129	1
ENSRNOG00000040316	0
ENSRNOG00000023659	0
ENSRNOG00000029897	0
ENSRNOG00000042852	0
ENSRNOG00000061806	0
ENSRNOG00000055877	0
ENSRNOG00000014303	4242
ENSRNOG00000051899	9
ENSRNOG00000014330	2908
ENSRNOG00000049505	67
ENSRNOG00000014916	690
ENSRNOG00000014996	167
ENSRNOG00000015239	135
ENSRNOG00000055508	0
ENSRNOG00000053710	0
ENSRNOG00000015552	658
ENSRNOG00000016041	1
ENSRNOG00000016054	860
ENSRNOG00000016381	130
ENSRNOG00000054005	0
ENSRNOG00000059137	0
ENSRNOG00000013160	1173
ENSRNOG00000052788	0
ENSRNOG00000023549	213
ENSRNOG00000031859	0
ENSRNOG00000013351	3178
ENSRNOG00000061755	0
ENSRNOG00000053182	0
ENSRNOG00000042741	30
ENSRNOG00000014258	45
ENSRNOG00000057302	0
ENSRNOG00000014290	682
ENSRNOG00000041566	1
ENSRNOG00000014431	3
ENSRNOG00000014450	965
ENSRNOG00000014852	175
ENSRNOG00000052274	0
ENSRNOG00000040242	112
ENSRNOG00000054906	0
ENSRNOG00000058048	0
ENSRNOG00000051844	0
ENSRNOG00000053880	0
ENSRNOG00000011058	1393
ENSRNOG00000014902	15
ENSRNOG00000014908	440
ENSRNOG00000036310	0
ENSRNOG00000025587	33
ENSRNOG00000042705	0
ENSRNOG00000043188	0
ENSRNOG00000015217	359
ENSRNOG00000015473	81
ENSRNOG00000015551	328
ENSRNOG00000015660	288
ENSRNOG00000046983	103
ENSRNOG00000016624	0
ENSRNOG00000010753	578
ENSRNOG00000011015	6640
ENSRNOG00000011399	0
ENSRNOG00000011411	170
ENSRNOG00000011540	868
ENSRNOG00000012092	0
ENSRNOG00000012103	20
ENSRNOG00000059930	0
ENSRNOG00000059032	0
ENSRNOG00000056005	0
ENSRNOG00000055342	0
ENSRNOG00000047798	0
ENSRNOG00000059769	0
ENSRNOG00000047193	0
ENSRNOG00000060990	0
ENSRNOG00000058425	10
ENSRNOG00000055421	0
ENSRNOG00000052007	0
ENSRNOG00000061685	0
ENSRNOG00000047746	15
ENSRNOG00000055836	0
ENSRNOG00000060657	0
ENSRNOG00000059898	3
ENSRNOG00000055789	4
ENSRNOG00000062232	0
ENSRNOG00000055660	0
ENSRNOG00000060284	0
ENSRNOG00000056019	0
ENSRNOG00000059861	0
ENSRNOG00000056940	405
ENSRNOG00000055972	0
ENSRNOG00000060021	6
ENSRNOG00000060610	1
ENSRNOG00000060972	899
ENSRNOG00000051450	247
ENSRNOG00000059224	400
ENSRNOG00000055142	0
ENSRNOG00000052189	0
ENSRNOG00000053331	1
ENSRNOG00000053347	249
ENSRNOG00000059393	1
ENSRNOG00000060603	307
ENSRNOG00000053735	54
ENSRNOG00000053184	0
ENSRNOG00000011460	1478
ENSRNOG00000025799	0
ENSRNOG00000011994	77
ENSRNOG00000049517	248
ENSRNOG00000058088	0
ENSRNOG00000054373	0
ENSRNOG00000012057	0
ENSRNOG00000053291	0
ENSRNOG00000012074	479
ENSRNOG00000012259	5
ENSRNOG00000012286	0
ENSRNOG00000057719	0
ENSRNOG00000012311	39
ENSRNOG00000012322	91
ENSRNOG00000031700	489
ENSRNOG00000054452	3
ENSRNOG00000012701	893
ENSRNOG00000053505	0
ENSRNOG00000058050	1838
ENSRNOG00000013436	290
ENSRNOG00000058518	0
ENSRNOG00000053617	0
ENSRNOG00000013969	1378
ENSRNOG00000055858	9
ENSRNOG00000014531	1373
ENSRNOG00000014907	2
ENSRNOG00000052464	0
ENSRNOG00000058612	0
ENSRNOG00000048762	0
ENSRNOG00000058363	0
ENSRNOG00000014979	1
ENSRNOG00000055971	0
ENSRNOG00000047605	1992
ENSRNOG00000046617	36
ENSRNOG00000047754	0
ENSRNOG00000028519	0
ENSRNOG00000011134	140
ENSRNOG00000046438	0
ENSRNOG00000057281	0
ENSRNOG00000058772	0
ENSRNOG00000011245	110
ENSRNOG00000030796	0
ENSRNOG00000051380	1
ENSRNOG00000011720	271
ENSRNOG00000033517	42
ENSRNOG00000039955	3
ENSRNOG00000050801	3
ENSRNOG00000049569	0
ENSRNOG00000047783	473
ENSRNOG00000011855	0
ENSRNOG00000053931	2
ENSRNOG00000026462	4
ENSRNOG00000056218	1
ENSRNOG00000047821	0
ENSRNOG00000012346	1480
ENSRNOG00000013202	206
ENSRNOG00000055111	5
ENSRNOG00000054921	0
ENSRNOG00000053999	0
ENSRNOG00000052696	0
ENSRNOG00000013304	23
ENSRNOG00000013422	616
ENSRNOG00000013791	28
ENSRNOG00000053913	0
ENSRNOG00000013994	90
ENSRNOG00000015036	104
ENSRNOG00000015321	348
ENSRNOG00000015670	596
ENSRNOG00000026096	0
ENSRNOG00000056705	0
ENSRNOG00000048934	0
ENSRNOG00000030414	0
ENSRNOG00000039872	0
ENSRNOG00000048072	0
ENSRNOG00000052726	0
ENSRNOG00000048265	0
ENSRNOG00000046903	0
ENSRNOG00000045914	0
ENSRNOG00000047825	0
ENSRNOG00000046302	0
ENSRNOG00000016095	0
ENSRNOG00000016089	0
ENSRNOG00000039869	0
ENSRNOG00000029877	0
ENSRNOG00000025982	0
ENSRNOG00000025951	0
ENSRNOG00000016073	0
ENSRNOG00000016219	3
ENSRNOG00000039865	0
ENSRNOG00000016371	218
ENSRNOG00000060376	6
ENSRNOG00000016411	988
ENSRNOG00000057952	10
ENSRNOG00000061678	0
ENSRNOG00000054517	6
ENSRNOG00000016627	80
ENSRNOG00000048248	0
ENSRNOG00000016700	0
ENSRNOG00000011114	689
ENSRNOG00000011161	181
ENSRNOG00000051597	0
ENSRNOG00000057722	0
ENSRNOG00000011815	546
ENSRNOG00000059690	0
ENSRNOG00000051379	0
ENSRNOG00000059251	0
ENSRNOG00000061761	0
ENSRNOG00000056881	0
ENSRNOG00000055637	0
ENSRNOG00000058047	2
ENSRNOG00000052999	10
ENSRNOG00000048976	8
ENSRNOG00000048796	1
ENSRNOG00000054246	6
ENSRNOG00000012122	556
ENSRNOG00000062105	1
ENSRNOG00000062163	0
ENSRNOG00000062138	0
ENSRNOG00000012609	20
ENSRNOG00000058582	0
ENSRNOG00000029608	462
ENSRNOG00000052712	0
ENSRNOG00000057890	0
ENSRNOG00000056670	1
ENSRNOG00000013323	206
ENSRNOG00000021478	293
ENSRNOG00000021442	104
ENSRNOG00000013364	124
ENSRNOG00000014004	1665
ENSRNOG00000014190	229
ENSRNOG00000014240	53
ENSRNOG00000042944	2
ENSRNOG00000060033	0
ENSRNOG00000050157	0
ENSRNOG00000056383	0
ENSRNOG00000061372	0
ENSRNOG00000056484	23
ENSRNOG00000011568	278
ENSRNOG00000011588	727
ENSRNOG00000011622	486
ENSRNOG00000054753	3
ENSRNOG00000042309	2168
ENSRNOG00000012324	1537
ENSRNOG00000061741	19
ENSRNOG00000054845	0
ENSRNOG00000023407	20
ENSRNOG00000023387	0
ENSRNOG00000012581	0
ENSRNOG00000039788	0
ENSRNOG00000051400	0
ENSRNOG00000039783	28
ENSRNOG00000028357	57
ENSRNOG00000012775	494
ENSRNOG00000013331	4834
ENSRNOG00000014485	464
ENSRNOG00000014721	3
ENSRNOG00000039776	939
ENSRNOG00000015159	19
ENSRNOG00000015465	4
ENSRNOG00000028261	2567
ENSRNOG00000039743	4
ENSRNOG00000060926	0
ENSRNOG00000015676	705
ENSRNOG00000015810	23
ENSRNOG00000051415	1
ENSRNOG00000016103	195
ENSRNOG00000016372	119
ENSRNOG00000056712	0
